etiqueta,id_rama,id_rama_padre,generacion,n_puntas
principal_dashed,143,136,40,1
principal_dashed,144,143,41,1
principal_dashed,145,144,42,1
principal_dashed,146,145,43,1
principal_dashed,147,146,44,1
principal_dashed,211,147,45,1
principal_dashed,228,211,46,1
principal_dashed,235,228,47,1
principal_dashed,140,136,40,1
principal_dashed,116,114,33,1
principal_dashed,120,116,34,1
principal_dashed,124,120,35,1
principal_dashed,128,124,36,1
principal_dashed,130,128,37,1
principal_dashed,71,70,21,1
principal_dashed,65,63,18,1
principal_dashed,67,65,19,1
principal_dashed,69,67,20,1
principal_dashed,73,69,21,1
principal_dashed,76,73,22,1
principal_dashed,77,76,23,1
principal_dashed,78,77,24,1
principal_dashed,81,78,25,1
principal_dashed,83,81,26,1
principal_dashed,85,83,27,1
principal_dashed,96,85,28,1
principal_dashed,99,96,29,1
principal_dashed,98,96,29,1
principal_dashed,102,98,30,1
principal_dashed,107,102,31,1
principal_dashed,108,107,32,1
principal_dashed,111,108,33,1
principal_dashed,105,102,31,1
principal_dashed,104,102,31,1
principal_dashed,106,104,32,1
principal_dashed,100,98,30,1
principal_dashed,84,83,27,1
principal_dashed,89,84,28,1
principal_dashed,86,84,28,1
principal_dashed,90,86,29,1
principal_dashed,92,90,30,1
principal_dashed,93,92,31,1
principal_dashed,97,93,32,1
principal_dashed,87,86,29,1
principal_dashed,91,87,30,1
principal_dashed,101,91,31,1
principal_dashed,64,63,18,1
