n_branches,experiment_mean,experiment_sd,experiment_sem,experiment_n,simulation_mean,simulation_sd,simulation_sem,simulation_n
124.08219178082193,,,,,0.10646119896931937,0.020556442210485054,0.020556442210485054,1
126.81735159817352,,,,,0.10557105030319282,0.020461565649814443,0.020461565649814443,1
129.55251141552512,,,,,0.10451365157122543,0.02033285252826524,0.02033285252826524,1
131.0,0.10372201113300183,0.14810384047604525,0.046834546612253926,10,,,,
132.28767123287673,,,,,0.1025743121404645,0.020030374444174652,0.020030374444174652,1
135.02283105022832,,,,,0.09863971940675793,0.01933398554996143,0.01933398554996143,1
137.7579908675799,,,,,0.0943445477452214,0.018560918398353336,0.018560918398353336,1
140.49315068493152,,,,,0.09147060304913829,0.018062228012508563,0.018062228012508563,1
141.0,0.09122201113300184,0.1402998497578629,0.04436670806142698,10,,,,
143.2283105022831,,,,,0.09055595181316763,0.017947665885873796,0.017947665885873796,1
145.96347031963472,,,,,0.09007721944540568,0.017918484057130164,0.017918484057130164,1
148.6986301369863,,,,,0.08969423007834977,0.017907719250893905,0.017907719250893905,1
151.4337899543379,,,,,0.08911731374861862,0.017857536218846483,0.017857536218846483,1
153.0,0.08859043218563342,0.1412426360901839,0.04466484327712806,10,,,,
154.1689497716895,,,,,0.08751749708499093,0.017600794363529203,0.017600794363529203,1
156.9041095890411,,,,,0.08154816357106365,0.016459770703033977,0.016459770703033977,1
159.6392694063927,,,,,0.07373183961657086,0.014935893540885658,0.014935893540885658,1
162.3744292237443,,,,,0.06704114174843016,0.01362945391332469,0.01362945391332469,1
165.0,0.06359043218563343,0.07073898401154621,0.022369630884272074,10,,,,
165.1095890410959,,,,,0.06352920434202135,0.012961814246995135,0.012961814246995135,1
167.8447488584475,,,,,0.062261201003331886,0.01274851633280765,0.01274851633280765,1
170.5799086757991,,,,,0.061363877171961755,0.0126095388979102,0.0126095388979102,1
173.3150684931507,,,,,0.06065928086479269,0.012508996249787314,0.012508996249787314,1
176.0502283105023,,,,,0.05998032805359438,0.012412732608034865,0.012412732608034865,1
178.0,0.059423765518966755,0.073095498527455,0.023114826205224162,10,,,,
178.78538812785388,,,,,0.059166440525631386,0.012287455826372647,0.012287455826372647,1
181.5205479452055,,,,,0.0581345902624839,0.012115567156401713,0.012115567156401713,1
184.25570776255708,,,,,0.05702786300567009,0.011926513883652783,0.011926513883652783,1
186.9908675799087,,,,,0.05601461032130239,0.01175546313970994,0.01175546313970994,1
189.72602739726028,,,,,0.05525170838714958,0.011635656579065472,0.011635656579065472,1
192.46118721461187,,,,,0.05488942791866912,0.01159939765705584,0.01159939765705584,1
193.0,0.054878310973512215,0.07520568614058964,0.023782126120002134,10,,,,
195.19634703196348,,,,,0.05487831097351222,0.011637075311312275,0.011637075311312275,1
197.93150684931507,,,,,0.05487831097351222,0.011677102231583976,0.011677102231583976,1
200.66666666666669,,,,,0.05487831097351222,0.011717129151855677,0.011717129151855677,1
203.40182648401827,,,,,0.05487831097351222,0.011757156072127376,0.011757156072127376,1
206.13698630136986,,,,,0.05487831097351222,0.011797182992399076,0.011797182992399076,1
208.0,0.054878310973512215,0.07520568614058964,0.023782126120002134,10,,,,
208.87214611872147,,,,,0.05478374372716289,0.011816811829602212,0.011816811829602212,1
