id_rama,id_rama_padre,generacion,n_puntas,x_creacion,y_creacion,paso_creacion,x_dendro,y_dendro
202,190,41,1,200.91690170021323,23.134115702732718,373,55.0,-41.0
203,195,41,1,216.9360142589079,3.218299235072376,373,31.0,-41.0
204,198,43,1,209.503920065866,69.44896345309056,373,33.25,-43.0
205,199,43,1,218.7879392818386,68.20497385443836,374,49.34375,-43.0
206,201,44,1,223.70292682213258,59.023568091666924,374,35.0,-44.0
207,202,42,1,192.84472107328617,18.18695888045934,374,55.0,-42.0
208,204,44,1,200.65184750464635,66.39910103129544,375,32.5,-44.0
209,201,44,1,236.37593089150636,64.19697649437832,377,37.0625,-44.0
210,205,44,1,224.09188351724336,73.41634971863004,377,45.6875,-44.0
211,206,45,1,223.69568386011707,55.083457206237924,377,35.0,-45.0
212,200,43,1,215.41508927733602,72.09336879405052,378,54.0,-43.0
213,205,44,1,214.90933389071955,70.9145664213466,378,53.0,-44.0
214,209,45,1,246.12013100651652,58.63543071478018,378,36.0,-45.0
215,204,44,1,199.98603424978342,74.1970740165579,381,34.0,-44.0
216,213,45,1,211.2320357208395,82.13555878278203,381,53.0,-45.0
217,211,46,1,229.6355189488947,33.35743663390246,382,35.0,-46.0
218,208,45,1,196.82230221758863,69.73431938888403,386,32.5,-45.0
219,210,45,1,222.11771453092115,86.15195314085612,386,45.6875,-45.0
220,207,43,1,176.5550083836104,23.01046957413618,387,55.0,-43.0
221,218,46,1,193.6812285757453,69.74889855536766,389,32.0,-46.0
222,218,46,1,196.53555558392503,74.31830577530748,390,33.0,-46.0
223,209,45,1,238.30433624895593,59.381177772257665,392,38.125,-45.0
224,223,46,1,237.82647894225494,57.233575452386106,394,37.0,-46.0
225,223,46,1,243.96598805158155,55.35726971472999,397,39.25,-46.0
226,219,46,1,218.79211411956805,89.865696196434,399,45.6875,-46.0
227,226,47,1,219.71407759639416,94.51363331983313,400,45.6875,-47.0
228,214,46,1,247.4602197342541,53.548077235819584,402,36.0,-46.0
229,220,44,1,174.33056960239122,27.689257402671352,404,55.0,-44.0
230,217,47,1,232.91494292398323,29.61691991350016,405,35.0,-47.0
231,225,47,1,279.4170687996247,89.4485952021923,405,39.25,-47.0
232,203,42,1,219.76835745211073,0.4175425750357834,407,31.0,-42.0
233,229,45,1,171.31049666244814,32.349460034760405,407,55.0,-45.0
234,230,48,1,236.08714825438315,22.63094106925322,407,35.0,-48.0
235,227,48,1,214.2628481808751,98.83822314554868,408,41.0,-48.0
236,227,48,1,198.3479648811554,128.8642309848127,409,50.375,-48.0
