generation_persistence,experiment_mean,experiment_sd,experiment_sem,experiment_n,simulation_mean,simulation_sd,simulation_sem,simulation_n
6.5,,,,,0.32737864578422504,0.05245333413565029,0.05245333413565029,1
6.75,,,,,0.31581317902720474,0.050845921823379964,0.050845921823379964,1
7.0,0.27885468461706847,0.19973910461469402,0.06316305083850816,10,0.3047210550830439,0.04929709513343466,0.04929709513343466,1
7.25,,,,,0.29407843250932275,0.04780408297345992,0.04780408297345992,1
7.5,,,,,0.2838630417588506,0.04636429682061227,0.04636429682061227,1
7.75,,,,,0.274054045606676,0.04497531392900673,0.04497531392900673,1
8.0,0.267664349897322,0.20602744035215254,0.06515159720072852,10,0.2646319158937593,0.04363486257625987,0.04363486257625987,1
8.25,,,,,0.25557832419995374,0.042340809042459,0.042340809042459,1
8.5,,,,,0.2468760444753194,0.041091146069336504,0.041091146069336504,1
8.75,,,,,0.23850886599169166,0.03988398259083289,0.03988398259083289,1
9.0,0.2587827709499536,0.21073227088012422,0.06663939524807683,10,0.2304615152446108,0.03871753456109462,0.03871753456109462,1
9.25,,,,,0.22271958565329075,0.03759011673414985,0.03759011673414985,1
9.5,,,,,0.2152694740839967,0.03650013527246433,0.03650013527246433,1
9.75,,,,,0.20809832336823883,0.03544608108039002,0.03544608108039002,1
10.0,0.19884257956239382,0.13905733825571026,0.04397379142485103,10,0.20119397010790613,0.034426523774019495,0.034426523774019495,1
10.25,,,,,0.1945448971598211,0.03344010621180481,0.03344010621180481,1
10.5,,,,,0.18814019027605844,0.03248553952099943,0.03248553952099943,1
10.75,,,,,0.18196949844680013,0.031561598563939454,0.031561598563939454,1
11.0,0.18503786575768003,0.14572333204950103,0.04608176375054359,10,0.17602299755193132,0.030667117795714263,0.030667117795714263,1
11.25,,,,,0.1702913569779512,0.02980098747114146,0.02980098747114146,1
11.5,,,,,0.16476570889965342,0.028962150164361305,0.028962150164361305,1
11.75,,,,,0.15943761996267555,0.028149597568965717,0.028149597568965717,1
12.0,0.17253786575768001,0.1337627980701328,0.042299510809879495,10,0.154299065134459,0.02736236755051073,0.02736236755051073,1
12.25,,,,,0.1493424035182371,0.026599541426637122,0.026599541426637122,1
12.5,,,,,0.14456035594806674,0.02586024145293194,0.02586024145293194,1
12.75,,,,,0.1399459842032079,0.02514362849517635,0.02514362849517635,1
13.0,0.13618685565666988,0.13410474576595005,0.042407644165822385,10,0.13549267169780335,0.024448899870803627,0.024448899870803627,1
13.25,,,,,0.13119410551720945,0.023775287344285405,0.023775287344285405,1
13.5,,,,,0.1270442596858064,0.023122055262816767,0.023122055262816767,1
13.75,,,,,0.12303737956294171,0.022488498820115457,0.022488498820115457,1
14.0,0.12954197548237795,0.13849230634197104,0.04379511264504106,10,0.1191679672740692,0.021873942437418036,0.021873942437418036,1
14.25,,,,,0.11543076809332802,0.021277738251870133,0.021277738251870133,1
14.5,,,,,0.1118207577019264,0.02069926470348993,0.02069926470348993,1
14.75,,,,,0.10833313025389865,0.020137925212752497,0.020137925212752497,1
15.0,0.11372201113300182,0.1440843757702195,0.045563480267747127,10,0.10496328718720019,0.0195931469416107,0.0195931469416107,1
15.25,,,,,0.10170682672380658,0.019064379631451304,0.019064379631451304,1
15.5,,,,,0.09855953400756984,0.01855109451209148,0.01855109451209148,1
15.75,,,,,0.09551737183313379,0.01805278327646229,0.01805278327646229,1
16.0,0.07872201113300184,0.08801050005768599,0.027831363819266822,10,0.09257647192329044,0.0175689571161089,0.0175689571161089,1
16.25,,,,,0.08973312671581876,0.01709914581306991,0.01709914581306991,1
16.5,,,,,0.08698378162414254,0.01664289688408594,0.01664289688408594,1
16.75,,,,,0.0843250277391117,0.016199774773436013,0.016199774773436013,1
17.0,0.07609043218563342,0.08913749522139913,0.02818775098219961,10,0.08175359494189159,0.015769360091013755,0.015769360091013755,1
17.25,,,,,0.07926634540036874,0.01535124889253808,0.01535124889253808,1
17.5,,,,,0.07686026742367527,0.01494505199904797,0.01494505199904797,1
17.75,,,,,0.0745324696514266,0.014550394353061836,0.014550394353061836,1
18.0,0.06359043218563343,0.07073898401154621,0.022369630884272074,10,0.07228017555607506,0.014166914408990714,0.014166914408990714,1
18.25,,,,,0.0701007182384294,0.013794263555584272,0.013794263555584272,1
18.5,,,,,0.06799153549788807,0.013432105568360555,0.013432105568360555,1
18.75,,,,,0.06595016516030505,0.01308011609012717,0.01308011609012717,1
19.0,0.06359043218563343,0.07073898401154621,0.022369630884272074,10,0.0639742406476547,0.012737982137844137,0.012737982137844137,1
19.25,,,,,0.06206148677480833,0.012405401634208911,0.012405401634208911,1
19.5,,,,,0.06020971575978065,0.012082082962462652,0.012082082962462652,1
19.75,,,,,0.05841682343476693,0.011767744543025828,0.011767744543025828,1
20.0,0.06359043218563343,0.07073898401154621,0.022369630884272074,10,0.056680785646172516,0.011462114430670443,0.011462114430670443,1
20.25,,,,,0.054999654832648216,0.011164929931027589,0.011164929931027589,1
20.5,,,,,0.05337155677089061,0.010875937235312598,0.010875937235312598,1
20.75,,,,,0.05179468747965434,0.010594891072227074,0.010594891072227074,1
21.0,0.06064925571504518,0.07268362618527692,0.022984580734573063,10,0.05026731027305702,0.010321554376067708,0.010321554376067708,1
21.25,,,,,0.04878775295484299,0.010055697970137086,0.010055697970137086,1
21.5,,,,,0.04735440514581285,0.009797100264611504,0.009797100264611504,1
21.75,,,,,0.04596571573712583,0.009545546968076466,0.009545546968076466,1
22.0,0.03564925571504519,0.037952237103935416,0.012001551154718843,10,0.044620190462645565,0.009300830811991454,0.009300830811991454,1
22.25,,,,,0.04331638958392831,0.009062751287393003,0.009062751287393003,1
22.5,,,,,0.04205292568185164,0.008831114393188845,0.008831114393188845,1
22.75,,,,,0.04082846154925053,0.008605732395436473,0.008605732395436473,1
23.0,0.023149255715045187,0.024755882009523746,0.007828497263648123,10,0.03964170817927114,0.008386423597036917,0.008386423597036917,1
23.25,,,,,0.03849142284447205,0.008173012117309567,0.008173012117309567,1
23.5,,,,,0.037376407261999534,0.007965327680946122,0.007965327680946122,1
23.75,,,,,0.03629550584044058,0.007763205415872013,0.007763205415872013,1
24.0,0.014437134502923976,0.02366618262870992,0.007483904062823434,10,0.03524760400421441,0.007566485659571361,0.007566485659571361,1
24.25,,,,,0.03423162659160466,0.007375013773457938,0.007375013773457938,1
24.5,,,,,0.033246536322758376,0.007188639964898644,0.007188639964898644,1
24.75,,,,,0.03229133233418745,0.007007219116518677,0.007007219116518677,1
25.0,0.011805555555555555,0.02366211810750114,0.007482618748361654,10,0.031365048776505096,0.006830610622438888,0.006830610622438888,1
25.25,,,,,0.03046675347231167,0.00665867823111523,0.00665867823111523,1
25.5,,,,,0.02959554663131757,0.0064912898944689875,0.0064912898944689875,1
25.75,,,,,0.02875055961994986,0.006328317623013409,0.006328317623013409,1
26.0,0.011805555555555555,0.02366211810750114,0.007482618748361654,10,0.02793095378284107,0.006169637346698673,0.006169637346698673,1
26.25,,,,,0.027135919313739456,0.0060151287812122475,0.0060151287812122475,1
26.5,,,,,0.026364674173511862,0.00586467529948564,0.00586467529948564,1
26.75,,,,,0.025616463053035787,0.0057181638081721005,0.0057181638081721005,1
27.0,0.011805555555555555,0.02366211810750114,0.007482618748361654,10,0.024890556378892967,0.005575484628872026,0.005575484628872026,1
27.25,,,,,0.02418624935988725,0.005436531383894657,0.005436531383894657,1
27.5,,,,,0.023502861072512662,0.0053012008863556346,0.0053012008863556346,1
27.75,,,,,0.022839733583594125,0.005169393034420137,0.005169393034420137,1
28.0,0.00625,0.018750000000000003,0.005929270612815712,10,0.02219623110841567,0.005041010709511293,0.005041010709511293,1
28.25,,,,,0.021571739202736084,0.0049159596783124124,0.0049159596783124124,1
28.5,,,,,0.020965663987173738,0.004794148498400395,0.004794148498400395,1
28.75,,,,,0.020377431402518513,0.004675488427355636,0.004675488427355636,1
29.0,0.0,0.0,0.0,10,0.019806486494600876,0.004559893335201446,0.004559893335201446,1
29.25,,,,,0.019252292727416367,0.004447279620033181,0.004447279620033181,1
29.5,,,,,0.018714331323267802,0.00433756612670407,0.00433756612670407,1
29.75,,,,,0.018192100628748212,0.004230674068441112,0.004230674068441112,1
30.0,0.0,0.0,0.0,10,0.017685115505445197,0.004126526951270546,0.004126526951270546,1
30.25,,,,,0.017192906744300837,0.004025050501137985,0.004025050501137985,1
30.5,,,,,0.016715020502613497,0.0039261725936138815,0.0039261725936138815,1
30.75,,,,,0.01625101776271552,0.003829823186079958,0.003829823186079958,1
31.0,0.0,0.0,0.0,10,0.015800473811406875,0.0037359342522970923,0.0037359342522970923,1
31.25,,,,,0.01536297773926903,0.003644439719259931,0.003644439719259931,1
31.5,,,,,0.014938131959022886,0.003555275406247447,0.003555275406247447,1
31.75,,,,,0.014525551742135432,0.003468378965983228,0.003468378965983228,1
32.0,0.0,0.0,0.0,10,0.01412486477291522,0.0033836898278228025,0.0033836898278228025,1
32.25,,,,,0.01373571071937257,0.003301149142889208,0.003301149142889208,1
32.5,,,,,0.01335774082015369,0.003220699731081501,0.003220699731081501,1
32.75,,,,,0.012990617486888727,0.0031422860298840846,0.0031422860298840846,1
33.0,0.0,0.0,0.0,10,0.012634013921324723,0.003065854044908133,0.003065854044908133,1
33.25,,,,,0.01228761374664192,0.003,0.003,1
33.5,,,,,0.011951110652379247,0.003,0.003,1
33.75,,,,,0.011624208052420882,0.003,0.003,1
34.0,0.0,0.0,0.0,10,0.011306618755519082,0.003,0.003,1
34.25,,,,,0.010998064647852865,0.003,0.003,1
34.5,,,,,0.010698276387143255,0.003,0.003,1
34.75,,,,,0.010406993107867146,0.003,0.003,1
35.0,0.0,0.0,0.0,10,0.010123962137131895,0.003,0.003,1
35.25,,,,,0.009848938720791262,0.003,0.003,1
35.5,,,,,0.009581685759402082,0.003,0.003,1
35.75,,,,,0.009321973553637496,0.003,0.003,1
36.0,0.0,0.0,0.0,10,0.009069579558789646,0.003,0.003,1
36.25,,,,,0.008824288148009944,0.003,0.003,1
36.5,,,,,0.00858589038395,0.003,0.003,1
36.75,,,,,0.008354183798480672,0.003,0.003,1
37.0,0.0,0.0,0.0,10,0.008128972180179904,0.003,0.003,1
37.25,,,,,0.007910065369293368,0.003,0.003,1
37.5,,,,,0.007697279059883727,0.003,0.003,1
37.75,,,,,0.0074904346088966465,0.003,0.003,1
38.0,0.0,0.0,0.0,10,0.007289358851882401,0.003,0.003,1
38.25,,,,,0.007093883925123015,0.003,0.003,1
38.5,,,,,0.00690384709392492,0.003,0.003,1
38.75,,,,,0.006719090586846853,0.003,0.003,1
39.0,0.0,0.0,0.0,10,0.006539461435642244,0.003,0.003,1
39.25,,,,,0.006364811320704084,0.003,0.003,1
39.5,,,,,0.006194996421808874,0.003,0.003,1
39.75,,,,,0.006029877273964411,0.003,0.003,1
40.0,0.0,0.0,0.0,10,0.005869318628173908,0.003,0.003,1
40.25,,,,,0.005713189316936499,0.003,0.003,1
40.5,,,,,0.0055613621243112525,0.003,0.003,1
40.75,,,,,0.005413713660378594,0.003,0.003,1
41.0,0.0,0.0,0.0,10,0.005270124239939671,0.003,0.003,1
41.25,,,,,0.005130477765300446,0.003,0.003,1
41.5,,,,,0.004994661612993093,0.003,0.003,1
41.75,,,,,0.0048625665242933505,0.003,0.003,1
42.0,0.0,0.0,0.0,10,0.004734086499397619,0.003,0.003,1
42.25,,,,,0.004609118695129073,0.003,0.003,1
42.5,,,,,0.004487563326047032,0.003,0.003,1
42.75,,,,,0.004369323568838621,0.003,0.003,1
43.0,0.0,0.0,0.0,10,0.004254305469876468,0.003,0.003,1
43.25,,,,,0.004142417855830488,0.003,0.003,1
43.5,,,,,0.004033572247226204,0.003,0.003,1
43.75,,,,,0.003927682774846016,0.003,0.003,1
44.0,0.0,0.0,0.0,10,0.003824666098873783,0.003,0.003,1
44.25,,,,,0.0037244413306868366,0.003,0.003,1
