z,active_density_mean,active_density_sem,inactive_density_mean,inactive_density_sem,n_times
-52.0,0.0012325752783946702,2.7886596558402466e-05,2.001202063300692,0.0010631836522461138,5
-50.0,0.0016351978733202919,3.4995299912420215e-05,2.0002828969967617,0.000540656630415496,5
-48.0,0.00217089600035417,4.4719788941009436e-05,1.9994905771716815,0.00027716035507273584,5
-46.0,0.002883380009617842,5.766032770788051e-05,1.9986565474329896,0.00015039136411768754,5
-44.0,0.0038306866478297675,7.46006169983102e-05,1.9976593346662264,0.00010201045646096195,5
-42.0,0.00508972036836154,9.653261843280544e-05,1.996390170818659,9.976203030880441e-05,5
-40.0,0.006762183367414179,0.0001246986885790287,1.9947316006142906,0.00011949594110827877,5
-38.0,0.008982251896777238,0.00016064446304611847,1.9925416986707112,0.00015092995076860076,5
-36.0,0.011926404922302809,0.00020627878810796285,1.989639693156791,0.00019271859377308203,5
-34.0,0.015825823062160314,0.000263936835947663,1.9857904699464455,0.0002464166759452975,5
-32.0,0.020981703185952355,0.00033643943928191646,1.980686237688656,0.00031473992167251757,5
-30.0,0.027783590992768715,0.0004271350123416269,1.9739240356684788,0.0004013061820302614,5
-28.0,0.036730272600304835,0.0005398985105391945,1.9649780482917962,0.0005107192371949759,5
-26.0,0.04845164597203968,0.0006790418317894447,1.9531660837465594,0.000648742349554846,5
-24.0,0.06372794654926478,0.000849057772540287,1.9376103404567808,0.0008224972541164459,5
-22.0,0.08349922099148362,0.0010540705011545266,1.9171940778489875,0.0010406384454523382,5
-20.0,0.10885244576832873,0.0012967971958315972,1.89051852209476,0.0013134158528359053,5
-18.0,0.14096579165355214,0.0015767458886677362,1.8558689026911463,0.0016524673306604464,5
-16.0,0.18097978738758075,0.001887319407045778,1.8112055559668268,0.0020700738829587755,5
-14.0,0.22975652540618138,0.002211560483632005,1.754205717116617,0.0025774754811673066,5
-12.0,0.2874884984530355,0.002516656280908607,1.6823926626230221,0.003181736059719056,5
-10.0,0.3531436598248733,0.0027483300203510965,1.5933967487727485,0.0038806981353188275,5
-8.0,0.42380520042856007,0.002828153791737781,1.485387743794789,0.004656029658341456,5
-6.0,0.49410016329729756,0.002659338104382709,1.357683891422726,0.005465544267831094,5
-4.0,0.5560877878924398,0.002147928966866678,1.2114644501707605,0.006237949332173331,5
-2.0,0.6000850002994081,0.0012430942484142025,1.0503908665490784,0.006875208339867276,5
0.0,0.6167341123292184,0.00010965612434798821,0.8808247609644588,0.007267742881137521,5
2.0,0.6000014906507957,0.0014857230028540141,0.7113233219312348,0.007323143280861087,5
4.0,0.5499230030589101,0.0028767087858028225,0.5513028998642937,0.006999830287968259,5
6.0,0.4734822506104564,0.003928373541279973,0.4091713502912507,0.006328960031037839,5
8.0,0.38273517019308045,0.004456662735893706,0.2906041499331466,0.005409873706041515,5
10.0,0.29094484426371015,0.004436877666848592,0.1976603857573794,0.004378919835203502,5
12.0,0.2087369288628329,0.003988304906694874,0.12901936886486878,0.0033678749147942224,5
14.0,0.14203757429614144,0.0032999175457820392,0.08105865203677401,0.0024723945645243445,5
16.0,0.09218398747641557,0.0025507768097551412,0.049187728947434714,0.0017409762093649269,5
18.0,0.05738886079273951,0.0018642012260515221,0.028931977769762324,0.0011815461954656006,5
20.0,0.03445426783416129,0.0013005704997300826,0.016551606291479802,0.0007761278925994651,5
22.0,0.020043219464167848,0.0008727049889223077,0.00923788391296002,0.0004952076086321961,5
24.0,0.011343977276094538,0.0005664935269600513,0.005043439802804478,0.0003077962461835443,5
26.0,0.006267613122490143,0.00035726413121302757,0.002699450129468654,0.0001867896135589728,5
28.0,0.0033897984193454926,0.00021960280488623953,0.0014191429114007708,0.00011087639097184675,5
30.0,0.0017986525551617126,0.0001318770513504734,0.0007339169407962022,6.446867642067061e-05,5
32.0,0.0009379993092482853,7.75101547633892e-05,0.0003738431260170929,3.676154009737035e-05,5
34.0,0.00048147262120636357,4.464847612980333e-05,0.00018776402923215406,2.057805966189621e-05,5
36.0,0.00024354045155605626,2.5234584303794618e-05,9.306819962855477e-05,1.131758819922367e-05,5
38.0,0.0001215146462319551,1.400654452317661e-05,4.5560034597080034e-05,6.120319933672247e-06,5
40.0,5.9855398314871905e-05,7.641205197561806e-06,2.2041616272748803e-05,3.2566228685228296e-06,5
42.0,2.9127398807686975e-05,4.100179560245238e-06,1.054452019128717e-05,1.7061373580151327e-06,5
44.0,1.4011654015823213e-05,2.1654207432905226e-06,4.990604968052927e-06,8.805952855209748e-07,5
