times_used,z_from_front,barw_active_raw_norm,barw_active_norm,barw_active_sem_norm,pde_active_norm,barw_duct_raw_norm,barw_duct_norm,barw_duct_sem_norm,pde_inactive_norm,n_samples_active,n_samples_duct
140;180;220;260;300,-86.0,0.0,0.0032529643578396513,0.0,1.3186656180013156e-05,0.6938775510204082,0.8132183841208905,0.0824484300240898,0.7977796669145084,77,98
140;180;220;260;300,-84.0,0.0,0.0029431731372293484,0.0,1.6961794260686588e-05,0.666666666666667,0.8203233455087602,0.08267358191636526,0.7976139961828492,79,90
140;180;220;260;300,-82.0,0.0,0.0032406599043365318,0.0,2.2144615034897618e-05,0.5816767502160761,0.8340853072219484,0.06311705574730911,0.7975232767790503,81,89
140;180;220;260;300,-80.0,0.0,0.004251943226851397,0.0,2.918951767983826e-05,0.6832092638544255,0.8544712348785606,0.07002772140393325,0.9977167558193104,84,93
140;180;220;260;300,-78.0,0.0,0.0060863494644588685,0.0,3.868381009381529e-05,0.6730769230769232,0.8798433866106603,0.08171732941936014,0.9978847541013122,17,100
140;180;220;260;300,-76.0,0.0,0.008803917879030338,0.0,5.139631590137349e-05,0.8141025641025638,0.9071967977957199,0.0807380195886377,0.9985184977301775,69,108
140;180;220;260;300,-74.0,0.0,0.012415822445755427,0.0,6.835793132659181e-05,0.8430141287284145,0.9330525846747182,0.08675159526137848,0.9994967144213004,88,98
140;180;220;260;300,-72.0,0.0,0.01688277098917869,0.0,9.095538000854184e-05,0.8476052249637156,0.9545948859614122,0.0815378391771551,1.0,91,106
140;180;220;260;300,-70.0,0.0,0.022148912378269783,0.0,0.0001210455439785754,0.8296703296703297,0.9704413496419037,0.08039168883104482,0.9993249468348266,92,98
140;180;220;260;300,-68.0,0.0,0.02820612429792553,0.0,0.00016110686090471828,0.7998430141287284,0.9806732444811225,0.07969130902244857,0.9981424614644467,93,98
140;180;220;260;300,-66.0,0.006629663891458526,0.035139430325513414,0.05507459561298713,0.00032434187199049117,0.8390894819466249,0.9863006601354788,0.0908040676274063,0.9972283222797015,94,98
140;180;220;260;300,-64.0,0.02077294685990338,0.043128570765023556,0.17256706625402643,0.0004030387952276061,0.8080586080586082,0.9885554344257789,0.0841113309012465,0.9966322596213999,30,105
140;180;220;260;300,-62.0,0.0,0.052367650605518797,0.0,0.0005124827634899585,0.868227424749164,0.9884668991731765,0.09283512055526184,0.9961910694586212,67,115
140;180;220;260;300,-60.0,0.0,0.06289120269511476,0.0,0.0006624485109478753,0.8144796380090498,0.9867771388148765,0.08567738030740621,0.9957854910195092,97,102
140;180;220;260;300,-58.0,0.0,0.07439252263684681,0.0,0.0008661465767143461,0.792099792099792,0.9841017200383743,0.07138834929302111,0.9953385797521102,99,111
140;180;220;260;300,-56.0,0.0,0.08610687372891314,0.0,0.0011406741653107275,0.8764792899408285,0.9810364043470392,0.07849872902363537,0.9947913581286457,99,104
140;180;220;260;300,-54.0,0.0,0.09684211602502149,0.0,0.001508257835037089,0.7819268110530246,0.9781259207471346,0.06312167238809475,0.9940876556614262,101,103
140;180;220;260;300,-52.0,0.01832907075873828,0.10520411807478353,0.11304130820977326,0.001998552137386411,0.7811799850634803,0.9757430476575774,0.07451929908778385,0.993164287080607,102,103
140;180;220;260;300,-50.0,0.08128544423440454,0.10992785115218556,0.49407505403896745,0.0026513822417648402,0.7927350427350427,0.9740010708541875,0.07629706355874788,0.991943347257916,23,108
140;180;220;260;300,-48.0,0.0,0.11021225152309652,0.0,0.0035199869067649783,0.8409825468648999,0.972916156191269,0.09325834384660098,0.9903247889690172,80,119
140;180;220;260;300,-46.0,0.005992196209587514,0.10592833817651696,0.04977896141943072,0.0046752400296591135,0.8720345075485264,0.9726487895322125,0.09016419881176893,0.9881781468070205,104,107
140;180;220;260;300,-44.0,0.00587913590374624,0.09764213912870583,0.04883973573227161,0.006211244961564428,0.7765886287625416,0.9736295331951016,0.0719090045589226,0.9853326074112351,106,115
140;180;220;260;300,-42.0,0.017472572125152377,0.0864687603510655,0.08300796315654262,0.008252697988666792,0.731847591660676,0.9763929898745929,0.06433538307918889,0.9815648066653265,107,107
140;180;220;260;300,-40.0,0.01715197447147986,0.07380744072543417,0.08149938938837872,0.010964503555471345,0.7985347985347985,0.9811777792578906,0.0707332496625943,0.976583892917593,109,105
140;180;220;260;300,-38.0,0.0,0.061093068592652754,0.0,0.014564220978233207,0.8871794871794872,0.9875357921154551,0.0765091050566203,0.9700136527199903,110,105
140;180;220;260;300,-36.0,0.0,0.04958052324817545,0.0,0.019338001067040676,0.8020979020979022,0.994178889015988,0.0800428960103349,0.9613719992700962,14,110
140;180;220;260;300,-34.0,0.0,0.04022214734920513,0.0,0.02566069031335232,0.8531468531468531,0.9991098679278698,0.07728770655390706,0.9500490771809006,96,121
140;180;220;260;300,-32.0,0.0,0.03389073124394682,0.0,0.034020662659165715,0.8176638176638176,1.0,0.08503219550575787,0.935286916736781,113,108
140;180;220;260;300,-30.0,0.0,0.030759634536713792,0.0,0.045049544750878925,0.8394648829431438,0.9947843878399582,0.08021531208956323,0.9161663036759151,114,115
140;180;220;260;300,-28.0,0.0,0.031241646159128347,0.0,0.05955609048701019,1.0,0.9823977139245957,0.09175399372199032,0.8916105768152881,114,108
