segment_id,seed,x0,y0,x1,y1,branch_id
77,1000,41.3462342428606,33.12510429995823,42.26340682563288,32.72661408249885,4
78,1000,42.26340682563288,32.72661408249885,43.194449307701035,32.36170327615795,4
79,1000,43.194449307701035,32.36170327615795,44.03954507489426,31.82708832661753,4
80,1000,44.03954507489426,31.82708832661753,44.710867559099626,31.08592294547758,4
81,1000,44.710867559099626,31.08592294547758,45.32202865869924,30.294416716609994,4
82,1000,45.32202865869924,30.294416716609994,46.016279327745515,29.574683426752703,4
83,1000,46.016279327745515,29.574683426752703,46.79960255049619,28.95306881246223,4
84,1000,46.79960255049619,28.95306881246223,47.484483550666596,28.224413876566246,4
85,1000,47.484483550666596,28.224413876566246,48.31755921053225,27.671254817217672,4
86,1000,48.31755921053225,27.671254817217672,49.21556503175992,27.23127124361382,4
87,1000,49.21556503175992,27.23127124361382,49.99305981515624,26.602381856049114,4
88,1000,49.99305981515624,26.602381856049114,50.63436450608286,25.835095538306177,4
89,1000,50.63436450608286,25.835095538306177,51.3056610566184,25.093906668152904,4
90,1000,51.3056610566184,25.093906668152904,51.99723402152128,24.37160006136086,4
91,1000,51.99723402152128,24.37160006136086,52.853488076009384,23.855045132846293,4
92,1000,52.853488076009384,23.855045132846293,53.776362404341114,23.469943881087403,4
93,1000,53.776362404341114,23.469943881087403,54.57401025208463,22.8668204186105,4
94,1000,54.57401025208463,22.8668204186105,55.42830187264409,22.347026394941608,4
95,1000,55.42830187264409,22.347026394941608,56.16221702522959,21.667785238351836,4
96,1000,56.16221702522959,21.667785238351836,56.731610155709724,20.84571987418544,4
97,1000,56.731610155709724,20.84571987418544,57.284232131984275,20.01228784256054,4
98,1000,57.284232131984275,20.01228784256054,57.5584441330506,19.050618575883476,4
99,1000,57.5584441330506,19.050618575883476,57.6947637073928,18.05995366096463,4
100,1000,57.6947637073928,18.05995366096463,58.097803211466,17.14477107909562,4
101,1000,58.097803211466,17.14477107909562,58.48210326208453,16.22156283005611,4
102,1000,58.48210326208453,16.22156283005611,58.762673219398245,15.261729251224354,4
103,1000,58.762673219398245,15.261729251224354,59.04923693222456,14.303668063986713,4
104,1000,59.04923693222456,14.303668063986713,59.27845154969739,13.330292155543944,4
105,1000,59.27845154969739,13.330292155543944,59.786921886815456,12.469212649185188,4
106,1000,59.786921886815456,12.469212649185188,60.357446250159335,11.64793197193102,4
107,1000,60.357446250159335,11.64793197193102,61.12059010883852,11.001703335177554,4
108,1000,61.12059010883852,11.001703335177554,61.66944444247699,10.165785324577069,4
109,1000,61.66944444247699,10.165785324577069,62.36224514931856,9.444656223375478,4
110,1000,62.36224514931856,9.444656223375478,63.159989479043105,8.84166038226848,4
111,1000,62.36224514931856,9.444656223375478,63.354609925138504,9.321318671462723,5
112,1000,63.354609925138504,9.321318671462723,64.35440987454353,9.301317142278963,5
113,1000,64.35440987454353,9.301317142278963,65.35385766639804,9.334545313416754,5
114,1000,65.35385766639804,9.334545313416754,66.35286183129865,9.379162333837634,5
115,1000,66.35286183129865,9.379162333837634,67.29681166237167,9.709251286117512,5
116,1000,67.29681166237167,9.709251286117512,68.2229957337716,10.086322984717468,5
117,1000,67.29681166237167,9.709251286117512,68.28744644608449,9.57271292045326,6
118,1000,68.28744644608449,9.57271292045326,69.24333756441492,9.278991675227433,6
119,1000,69.24333756441492,9.278991675227433,70.07799462032773,8.728221669676165,6
120,1000,70.07799462032773,8.728221669676165,70.89994644864366,8.158664655911869,6
121,1000,70.07799462032773,8.728221669676165,70.50504727745424,7.823994912694717,7
122,1000,70.89994644864366,8.158664655911869,71.83037905635767,7.792201612069084,6
123,1000,70.50504727745424,7.823994912694717,70.99623358460558,6.952940372687588,7
124,1000,71.83037905635767,7.792201612069084,72.76810681926959,7.444830567414804,6
125,1000,70.99623358460558,6.952940372687588,71.63075406640166,6.180034325239861,7
126,1000,71.63075406640166,6.180034325239861,72.08902450102153,5.291221516627541,7
127,1000,72.08902450102153,5.291221516627541,72.62686008888792,4.448171766954127,7
128,1000,72.62686008888792,4.448171766954127,72.95433357888665,3.50331139983735,7
129,1000,72.95433357888665,3.50331139983735,72.99458455483776,2.5041217987430517,7
130,1000,72.99458455483776,2.5041217987430517,73.19777535030545,1.5249826356833744,7
131,1000,73.19777535030545,1.5249826356833744,73.54868841273336,0.5885745928850072,7
132,1000,73.19777535030545,1.5249826356833744,73.96987899828699,0.8894860135258755,8
133,1000,73.96987899828699,0.8894860135258755,74.55480222538151,0.07839735104480416,8
