time,x,active_density_mean,active_density_sem,duct_density_mean,duct_density_sem,n_seeds
200.0,22.166666666666668,0.0,0.0,0.02368571428571429,0.002785033771913516,100
200.0,24.5,0.0,0.0,0.021628571428571428,0.002428530684659495,100
200.0,26.833333333333336,0.0,0.0,0.018542857142857142,0.002061313313091161,100
200.0,29.166666666666668,0.0,0.0,0.017485714285714285,0.0024380275964642852,100
200.0,31.500000000000004,2.857142857142857e-05,2.8571428571428567e-05,0.019514285714285717,0.002887016979119482,100
200.0,33.833333333333336,2.857142857142857e-05,2.8571428571428567e-05,0.01677142857142857,0.002249223508332367,100
200.0,36.16666666666667,2.857142857142857e-05,2.8571428571428567e-05,0.01691428571428571,0.0022014331644945634,100
200.0,38.5,0.0,0.0,0.018,0.00244384468195499,100
200.0,40.833333333333336,0.0,0.0,0.0166,0.002297119812078844,100
200.0,43.16666666666667,2.857142857142857e-05,2.8571428571428567e-05,0.014371428571428573,0.0020098520484473762,100
200.0,45.5,0.0,0.0,0.01631428571428571,0.0023763748204265428,100
200.0,47.833333333333336,0.0,0.0,0.01568571428571429,0.0023646175595315143,100
200.0,50.16666666666667,0.0,0.0,0.013999999999999999,0.0024529377756456537,100
200.0,52.5,2.857142857142857e-05,2.8571428571428567e-05,0.014400000000000001,0.0026027972837445465,100
200.0,54.833333333333336,2.857142857142857e-05,2.8571428571428567e-05,0.012600000000000002,0.0020260496896367932,100
200.0,57.16666666666667,0.0,0.0,0.012657142857142858,0.001908332151836153,100
200.0,59.5,5.714285714285714e-05,4.0201512610368476e-05,0.013257142857142858,0.002265247473059679,100
200.0,61.83333333333334,0.0,0.0,0.011114285714285714,0.0016609773023270363,100
200.0,64.16666666666667,2.857142857142857e-05,2.8571428571428567e-05,0.010457142857142856,0.001598917382648896,100
200.0,66.5,0.0,0.0,0.00942857142857143,0.001567290892628114,100
200.0,68.83333333333334,8.571428571428571e-05,8.57142857142857e-05,0.009885714285714286,0.0015619786699861337,100
200.0,71.16666666666667,0.0,0.0,0.010314285714285713,0.0017113466869670788,100
200.0,73.5,0.0,0.0,0.010371428571428571,0.0019363846860690661,100
200.0,75.83333333333334,8.571428571428571e-05,8.57142857142857e-05,0.009342857142857142,0.0016743077777801505,100
200.0,78.16666666666667,5.714285714285714e-05,5.7142857142857135e-05,0.011828571428571428,0.002416196294829415,100
200.0,80.5,0.0,0.0,0.010885714285714285,0.0023422640293834602,100
200.0,82.83333333333334,2.857142857142857e-05,2.8571428571428567e-05,0.011200000000000002,0.0022400488848215864,100
200.0,85.16666666666667,0.0,0.0,0.011542857142857143,0.0023072291899018413,100
200.0,87.5,0.0,0.0,0.010485714285714286,0.0021187406752743595,100
200.0,89.83333333333334,5.714285714285714e-05,4.020151261036847e-05,0.010742857142857143,0.0025700236662376556,100
200.0,92.16666666666667,0.0,0.0,0.0096,0.0020930803529350004,100
200.0,94.5,2.857142857142857e-05,2.8571428571428567e-05,0.008685714285714286,0.0017103948148288102,100
200.0,96.83333333333334,2.857142857142857e-05,2.8571428571428574e-05,0.007514285714285713,0.0017280138153474775,100
200.0,99.16666666666667,2.857142857142857e-05,2.8571428571428574e-05,0.00637142857142857,0.0014281990856754023,100
200.0,101.5,0.0,0.0,0.005600000000000001,0.001354756769290094,100
200.0,103.83333333333334,8.571428571428571e-05,4.8984745142218657e-05,0.005942857142857143,0.0016171009432715533,100
200.0,106.16666666666667,0.0,0.0,0.005600000000000001,0.001535088130344359,100
200.0,108.5,0.0,0.0,0.005314285714285713,0.0014647764285275707,100
200.0,110.83333333333334,0.0,0.0,0.004657142857142856,0.0011519515496350784,100
200.0,113.16666666666667,0.0,0.0,0.005,0.0011800408435712693,100
200.0,115.5,8.571428571428571e-05,4.8984745142218657e-05,0.004942857142857143,0.0012456347195157163,100
200.0,117.83333333333334,5.714285714285714e-05,4.020151261036847e-05,0.004685714285714284,0.0013336548777405073,100
200.0,120.16666666666669,5.714285714285714e-05,4.020151261036847e-05,0.004571428571428572,0.0012988744473319863,100
200.0,122.5,0.00011428571428571428,5.627039587626639e-05,0.004628571428571429,0.0012789013012917303,100
200.0,124.83333333333334,5.714285714285714e-05,4.020151261036847e-05,0.0044571428571428574,0.0012319661813647268,100
200.0,127.16666666666669,2.857142857142857e-05,2.8571428571428574e-05,0.003514285714285714,0.0009321266163242143,100
200.0,129.5,2.857142857142857e-05,2.8571428571428574e-05,0.0028857142857142857,0.0007482488317144426,100
200.0,131.83333333333334,2.857142857142857e-05,2.8571428571428574e-05,0.0034285714285714284,0.0011571971911067441,100
200.0,134.16666666666669,0.0,0.0,0.002485714285714286,0.0007647727406735578,100
200.0,136.5,2.857142857142857e-05,2.8571428571428574e-05,0.0031142857142857144,0.0011868134129245024,100
200.0,138.83333333333334,5.714285714285714e-05,4.020151261036847e-05,0.004257142857142857,0.0018936885919282873,100
200.0,141.16666666666669,5.714285714285714e-05,4.020151261036847e-05,0.003914285714285715,0.0013503276895254553,100
200.0,143.5,5.714285714285714e-05,4.020151261036847e-05,0.0029714285714285715,0.0009600728344527479,100
200.0,145.83333333333334,0.0,0.0,0.003285714285714286,0.0011380671626162657,100
200.0,148.16666666666669,0.00011428571428571428,6.939381786844633e-05,0.002485714285714286,0.0009381227059946812,100
200.0,150.5,2.857142857142857e-05,2.8571428571428574e-05,0.0024571428571428574,0.001073678253847489,100
200.0,152.83333333333334,5.714285714285714e-05,4.020151261036847e-05,0.0019428571428571429,0.000862302890517506,100
200.0,155.16666666666669,0.00011428571428571428,6.939381786844633e-05,0.0014000000000000002,0.0007515475684751366,100
200.0,157.5,5.714285714285714e-05,5.7142857142857135e-05,0.0010857142857142858,0.0006353562719050004,100
200.0,159.83333333333334,0.0,0.0,0.0009428571428571427,0.0006212813512564889,100
200.0,162.16666666666669,0.00011428571428571428,0.00011428571428571427,0.0012285714285714287,0.0009244876343715789,100
200.0,164.5,0.00011428571428571428,6.939381786844631e-05,0.0007142857142857143,0.00047423842320602744,100
