z,active_density_mean,active_density_sem,duct_density_mean,duct_density_sem,n_samples
-104.0,0.0,0.0,0.028609523809523817,0.0031539494595049355,75
-102.0,0.0,0.0,0.031801242236024846,0.0035691323971574255,69
-100.0,3.663003663003663e-05,3.663003663003662e-05,0.02637362637362637,0.002530666072099989,78
-98.0,0.0,0.0,0.024587525150905433,0.002636791123200124,71
-96.0,0.0,0.0,0.023835616438356164,0.0030624329997962743,73
-94.0,0.0,0.0,0.028035714285714285,0.0031459354273812405,80
-92.0,0.0,0.0,0.023407917383821,0.0022733692438889324,83
-90.0,0.0,0.0,0.025306122448979593,0.002514445639971709,91
-88.0,3.322259136212625e-05,3.322259136212626e-05,0.0248172757475083,0.0029079944615675803,86
-86.0,0.0,0.0,0.02577259475218659,0.0025513291096489797,98
-84.0,6.349206349206349e-05,6.349206349206353e-05,0.024761904761904773,0.002558296332392786,90
-82.0,6.420545746388443e-05,6.420545746388444e-05,0.021605136436597113,0.001953128538607669,89
-80.0,0.0,0.0,0.02537634408602152,0.0021669759393604195,93
-78.0,5.714285714285714e-05,5.714285714285715e-05,0.02500000000000001,0.0025287055344713353,100
-76.0,0.00010582010582010582,6.42946520670488e-05,0.030238095238095227,0.0024984012378612293,108
-74.0,2.915451895043732e-05,2.915451895043732e-05,0.031311953352769685,0.002684488597710989,98
-72.0,8.086253369272238e-05,6.004132980474702e-05,0.03148247978436658,0.0025231512906888657,106
-70.0,8.746355685131195e-05,6.492209876541471e-05,0.030816326530612247,0.002487684190330363,98
-68.0,8.746355685131195e-05,6.492209876541471e-05,0.029708454810495628,0.0024660112561949296,98
-66.0,2.915451895043732e-05,2.9154518950437326e-05,0.031166180758017498,0.002809890509069082,98
-64.0,8.163265306122449e-05,6.06109146439362e-05,0.030013605442176877,0.002602786819797143,105
-62.0,0.00014906832298136645,6.918434316887733e-05,0.03224844720496895,0.002872740516723098,115
-60.0,5.6022408963585436e-05,3.941722939665501e-05,0.030252100840336135,0.0026512475052937177,102
-58.0,7.722007722007723e-05,4.417587286079964e-05,0.029420849420849417,0.002209079949586155,111
-56.0,0.00010989010989010989,6.674700659177232e-05,0.03255494505494506,0.0024291074113834727,104
-54.0,0.00011095700416088766,6.738960188163206e-05,0.029042995839112344,0.0019532713984537786,103
-52.0,0.00011095700416088766,5.4656552906728316e-05,0.029015256588072125,0.002305965764754421,103
-50.0,0.00013227513227513228,6.914726385016107e-05,0.029444444444444443,0.0023609778764895387,108
-48.0,0.0001680672268907563,9.20913524448981e-05,0.03123649459783914,0.002885836968684154,119
-46.0,0.0001335113484646195,6.978539297405828e-05,0.032389853137516696,0.002790090060046399,107
-44.0,7.453416149068323e-05,4.265317144243241e-05,0.028844720496894405,0.002225191389617195,115
-42.0,0.0002403204272363151,9.387088085313819e-05,0.02718291054739654,0.001990829122912278,107
-40.0,0.00019047619047619048,7.986932089309854e-05,0.02965986394557823,0.0021888081899378528,105
-38.0,0.00016326530612244898,7.56578527343917e-05,0.032952380952380955,0.002367539404050675,105
-36.0,0.00023376623376623377,0.00010522796987774927,0.029792207792207797,0.0024768909553778747,110
-34.0,0.00014167650531286894,5.662138752435323e-05,0.03168831168831169,0.0023916328727105825,121
-32.0,0.00013227513227513228,8.72180090491981e-05,0.030370370370370367,0.0026312825555054975,108
-30.0,0.00019875776397515528,8.441305813408649e-05,0.031180124223602487,0.0024822262924094982,115
-28.0,0.0002380952380952381,0.00016862079456047527,0.037142857142857144,0.0028392855393494553,108
-26.0,5.3908355795148246e-05,3.7937010811266676e-05,0.03051212938005391,0.0028899533530432515,106
-24.0,0.00021563342318059299,9.142498715496402e-05,0.02644204851752022,0.0020539905541179333,106
-22.0,0.00025974025974025974,9.440766745174797e-05,0.028675324675324677,0.002082510126029916,110
-20.0,0.0001180637544273908,7.031156689217566e-05,0.02694214876033058,0.0020902842351749103,121
-18.0,0.00013227513227513228,6.914726385016105e-05,0.023253968253968256,0.0016199541661821746,108
-16.0,0.00014906832298136645,5.950734359193334e-05,0.025540372670807453,0.001838203002616868,115
-14.0,0.00018518518518518518,7.76993099496335e-05,0.026957671957671955,0.002235514471277353,108
-12.0,0.00029649595687331536,0.00010784879512369235,0.02983827493261456,0.0028445571055422435,106
-10.0,0.0003504043126684636,0.00011298729881494965,0.025714285714285714,0.002290330340808036,106
-8.0,0.00028571428571428574,9.728138929677879e-05,0.0243896103896104,0.0019915148331960814,110
-6.0,0.00018890200708382527,7.297065945861837e-05,0.02656434474616293,0.002071050496268032,121
-4.0,0.0006084656084656086,0.00015520909647634136,0.026640211640211645,0.0022470361182099752,108
-2.0,0.0010434782608695651,0.0002006556440885998,0.02718012422360249,0.0021341737447991426,115
0.0,0.0024074074074074076,0.0002525980235991146,0.011587301587301592,0.0011104751607903245,108
2.0,8.086253369272238e-05,4.623923928310534e-05,0.00010781671159029649,5.3132655558445404e-05,106
4.0,0.0,0.0,0.0,0.0,106
6.0,0.0,0.0,0.0,0.0,110
8.0,0.0,0.0,0.0,0.0,121
10.0,0.0,0.0,0.0,0.0,108
12.0,0.0,0.0,0.0,0.0,115
14.0,0.0,0.0,0.0,0.0,108
16.0,0.0,0.0,0.0,0.0,106
18.0,0.0,0.0,0.0,0.0,106
20.0,0.0,0.0,0.0,0.0,110
22.0,0.0,0.0,0.0,0.0,121
24.0,0.0,0.0,0.0,0.0,108
26.0,0.0,0.0,0.0,0.0,115
28.0,0.0,0.0,0.0,0.0,108
30.0,0.0,0.0,0.0,0.0,106
32.0,0.0,0.0,0.0,0.0,106
34.0,0.0,0.0,0.0,0.0,110
36.0,0.0,0.0,0.0,0.0,121
38.0,0.0,0.0,0.0,0.0,108
40.0,0.0,0.0,0.0,0.0,115
42.0,0.0,0.0,0.0,0.0,108
44.0,0.0,0.0,0.0,0.0,105
