z,active_density_mean,active_density_sem,duct_density_mean,duct_density_sem,n_samples
-104.0,0.0,0.0,0.022857142857142857,0.003229436299346768,42
-102.0,0.0,0.0,0.026042154566744722,0.0037539456871337963,61
-100.0,0.0,0.0,0.028749999999999998,0.0038041389450248456,64
-98.0,4.464285714285714e-05,4.464285714285714e-05,0.024107142857142855,0.003196204498157075,64
-96.0,0.0,0.0,0.022089552238805966,0.0024946667483965635,67
-94.0,0.0,0.0,0.02142857142857143,0.0021185149990799548,70
-92.0,0.0,0.0,0.02075187969924812,0.003404833623607357,19
-90.0,0.0,0.0,0.024391534391534395,0.003255378152802295,54
-88.0,0.0,0.0,0.023352380952380954,0.0022417741334825117,75
-86.0,0.0,0.0,0.023228200371057512,0.0024499114968006288,77
-84.0,0.0,0.0,0.021518987341772156,0.002420820079810421,79
-82.0,0.0,0.0,0.022857142857142864,0.002346845660733488,81
-80.0,0.0,0.0,0.02227891156462585,0.0020015448047695965,84
-78.0,0.0,0.0,0.018151260504201683,0.0036416720470622607,17
-76.0,0.0,0.0,0.02331262939958593,0.0020541440039088814,69
-74.0,0.0,0.0,0.02467532467532468,0.0020883916719860542,88
-72.0,0.0,0.0,0.03010989010989011,0.002964428313226,91
-70.0,0.0,0.0,0.03124223602484472,0.0030572235331097837,92
-68.0,0.0,0.0,0.024423963133640553,0.0018730323901291772,93
-66.0,3.0395136778115502e-05,3.0395136778115482e-05,0.027446808510638295,0.002489021021989282,94
-64.0,9.523809523809524e-05,9.523809523809523e-05,0.027238095238095235,0.0056974025355870615,30
-62.0,0.0,0.0,0.028358208955223882,0.0029022182129714493,67
-60.0,0.0,0.0,0.02553755522827688,0.0023421535999695884,97
-58.0,0.0,0.0,0.02672438672438673,0.0025202015965510535,99
-56.0,0.0,0.0,0.026580086580086582,0.002528248656965446,99
-54.0,0.0,0.0,0.023592644978783595,0.002075423048202549,101
-52.0,8.403361344537815e-05,6.238640495442777e-05,0.025686274509803927,0.002678053385088134,102
-50.0,0.00037267080745341616,0.00027267524489327244,0.02285714285714286,0.00402861427787761,23
-48.0,0.0,0.0,0.026250000000000002,0.0024130948998347273,80
-46.0,2.7472527472527473e-05,2.747252747252748e-05,0.02675824175824176,0.002061770969957531,104
-44.0,2.6954177897574123e-05,2.6954177897574106e-05,0.025444743935309978,0.0019995152434831164,106
-42.0,8.01068090787717e-05,4.581129222528374e-05,0.028224299065420556,0.002585719715060743,107
-40.0,7.863695937090433e-05,4.4978724949702945e-05,0.029541284403669724,0.002336477045660502,109
-38.0,0.0,0.0,0.03303896103896105,0.0027484452173239626,110
-36.0,0.0,0.0,0.03102040816326531,0.007366100948312206,14
-34.0,0.0,0.0,0.031577380952380954,0.0033273406008107373,96
-32.0,0.0,0.0,0.032389380530973455,0.003029736142088029,113
-30.0,0.0,0.0,0.03140350877192982,0.0026518132093331518,114
-28.0,0.0,0.0,0.03285714285714285,0.0026800413308144793,114
-26.0,0.0,0.0,0.025639751552795034,0.0018531061045878386,115
-24.0,4.926108374384237e-05,3.468106853353826e-05,0.0245320197044335,0.0019285873619729209,116
-22.0,0.0,0.0,0.023636363636363636,0.005408588087198075,11
-20.0,0.0,0.0,0.025291005291005298,0.0022407354426650936,108
-18.0,2.4009603841536614e-05,2.400960384153661e-05,0.024057623049219698,0.0020494444176789896,119
-16.0,7.142857142857143e-05,4.0891287707685725e-05,0.02454761904761905,0.0018629348635313043,120
-14.0,7.142857142857143e-05,4.089128770768573e-05,0.026119047619047618,0.0022289099570846505,120
-12.0,2.3228803716608595e-05,2.322880371660859e-05,0.025783972125435543,0.0022333600231905,123
-10.0,6.912442396313364e-05,5.135447808988054e-05,0.02748847926267281,0.0024366698784816505,124
-8.0,0.0,0.0,0.022857142857142854,0.010562415720389922,4
-6.0,4.722550177095632e-05,4.722550177095634e-05,0.02873671782762692,0.0025372465775457273,121
-4.0,9.070294784580499e-05,4.48039511482212e-05,0.02843537414965987,0.0023134053123082753,126
-2.0,0.00011160714285714285,4.9119923687044246e-05,0.027633928571428573,0.002033957013679666,128
0.0,0.004584717607973422,0.00021423634686769773,0.0339313399778516,0.0026006110915125233,129
2.0,0.0002879291251384275,8.807294418929605e-05,0.023521594684385385,0.002095383980414729,129
4.0,0.00022148394241417498,7.449404234260083e-05,0.021860465116279072,0.002156116957998173,129
6.0,0.0,0.0,0.025714285714285714,0.0,1
8.0,0.00011160714285714287,4.9119923687044246e-05,0.019218750000000003,0.0020152566796128005,128
10.0,0.00011074197120708749,4.874534014855761e-05,0.02004429678848284,0.002258328574719846,129
12.0,4.4296788482835e-05,3.1199965862637446e-05,0.01884828349944629,0.0022264782786005463,129
14.0,0.000132890365448505,6.178270654601715e-05,0.017209302325581398,0.0019333911710117558,129
16.0,6.64451827242525e-05,3.80612599248824e-05,0.01740863787375415,0.002000000459891854,129
18.0,0.00011074197120708748,5.800754939024629e-05,0.01641196013289036,0.0022011899453373575,129
20.0,0.0,0.0,0.06571428571428571,0.0,1
22.0,8.928571428571429e-05,4.411242812725251e-05,0.015602678571428573,0.0022749196611390986,128
24.0,8.859357696567e-05,5.3897902364152234e-05,0.01592469545957918,0.0020583116589046402,129
26.0,0.00011074197120708749,5.800754939024629e-05,0.018626799557032118,0.002770720355816847,129
28.0,0.00022148394241417498,8.675769444071095e-05,0.015503875968992248,0.002167351514363155,129
30.0,6.64451827242525e-05,3.806125992488239e-05,0.01273532668881506,0.0018278548589751166,129
32.0,6.64451827242525e-05,3.80612599248824e-05,0.01213732004429679,0.0018950552981088188,129
34.0,0.0,0.0,0.0,0.0,0
36.0,4.4296788482835e-05,3.1199965862637446e-05,0.013244739756367663,0.002083654772978704,129
38.0,8.859357696567e-05,5.3897902364152234e-05,0.010919158361018826,0.002153546982648292,129
40.0,8.859357696567e-05,5.389790236415222e-05,0.008637873754152824,0.0016628451827166411,129
42.0,0.00011074197120708748,5.800754939024629e-05,0.008504983388704318,0.0016425035479047333,129
44.0,6.696428571428572e-05,3.835621632943474e-05,0.009374999999999998,0.00218668561663985,128
